Date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,Stock Name,sentiment_label
2021-09-30,0.015666666666666666,0.8486666666666666,0.13566666666666666,0.47246666666666665,META,Positive
2021-10-01,0.023454545454545454,0.914,0.06245454545454546,0.23090000000000002,META,Positive
2021-10-02,0.029,0.786,0.185,0.86,META,Positive
2021-10-03,0.075,0.783,0.141,0.2769,META,Positive
2021-10-04,0.071390625,0.854328125,0.0743125,0.0461671875,META,Neutral
2021-10-05,0.05987096774193549,0.8352258064516129,0.10493548387096775,0.1372935483870968,META,Positive
2021-10-06,0.026833333333333334,0.89175,0.08133333333333333,0.295875,META,Positive
2021-10-07,0.013416666666666667,0.9105833333333333,0.07591666666666667,0.35710833333333336,META,Positive
2021-10-08,0.031,0.933,0.036,-0.05135,META,Negative
2021-10-09,0.055,0.9215,0.0235,-0.26275,META,Negative
2021-10-10,0.019,0.9263333333333333,0.05466666666666667,0.15156666666666668,META,Positive
2021-10-11,0.01575,0.92275,0.0615,0.21153750000000002,META,Positive
2021-10-12,0.09900000000000002,0.8773333333333334,0.023666666666666666,-0.43943333333333334,META,Negative
2021-10-13,0.092,0.875,0.033,-0.18288,META,Negative
2021-10-14,0.025875,0.853375,0.121,0.3272375,META,Positive
2021-10-15,0.06225,0.83575,0.10175000000000001,0.144175,META,Positive
2021-10-16,0.0,0.9235,0.0765,0.35015,META,Positive
2021-10-17,0.043166666666666666,0.8023333333333333,0.1545,0.6120833333333333,META,Positive
2021-10-18,0.0134,0.9189999999999999,0.06760000000000001,0.23406000000000002,META,Positive
2021-10-19,0.09875,0.8636666666666667,0.0375,-0.11509166666666666,META,Negative
2021-10-20,0.018789473684210526,0.8997894736842106,0.08142105263157895,0.23763157894736842,META,Positive
2021-10-21,0.08654545454545455,0.8391818181818181,0.07436363636363637,-0.018809090909090907,META,Neutral
2021-10-22,0.02126315789473684,0.8590526315789473,0.11973684210526316,0.26148421052631576,META,Positive
2021-10-23,0.029416666666666664,0.9198333333333334,0.050749999999999997,0.18157500000000001,META,Positive
2021-10-24,0.028181818181818183,0.8952727272727273,0.07654545454545456,0.11305454545454546,META,Positive
2021-10-25,0.0713404255319149,0.8048510638297873,0.12382978723404256,0.11999787234042553,META,Positive
2021-10-26,0.052083333333333336,0.8710416666666667,0.07683333333333334,0.1218875,META,Positive
2021-10-27,0.019,0.8953333333333333,0.08566666666666667,0.25716666666666665,META,Positive
2021-10-28,0.02776470588235294,0.8795686274509803,0.09266666666666666,0.1604921568627451,META,Positive
2021-10-29,0.028159999999999998,0.8553999999999999,0.11644,0.2868,META,Positive
2021-10-30,0.041999999999999996,0.8706363636363637,0.08745454545454545,0.24086363636363634,META,Positive
2021-10-31,0.02775,0.9722500000000001,0.0,-0.0625,META,Negative
2021-11-01,0.054625,0.880625,0.064625,0.12310000000000001,META,Positive
2021-11-02,0.027625,0.89,0.08225,0.2325125,META,Positive
2021-11-03,0.0275,0.8586666666666667,0.11383333333333334,0.26335000000000003,META,Positive
2021-11-04,0.03925000000000001,0.749,0.21175,0.40647500000000003,META,Positive
2021-11-05,0.032615384615384616,0.8544615384615385,0.11292307692307692,0.22166923076923076,META,Positive
2021-11-06,0.009333333333333334,0.9036666666666666,0.08700000000000001,0.48,META,Positive
2021-11-07,0.0344,0.8976,0.06799999999999999,0.16311,META,Positive
2021-11-08,0.03025,0.8435,0.12616666666666668,0.414225,META,Positive
2021-11-09,0.0216,0.8615999999999999,0.11679999999999999,0.39272,META,Positive
2021-11-10,0.04485714285714286,0.9147142857142858,0.04042857142857143,1.4285714285712712e-05,META,Neutral
2021-11-11,0.015,0.9506666666666667,0.034333333333333334,0.19796666666666665,META,Positive
2021-11-12,0.0,0.7765,0.2235,0.6294500000000001,META,Positive
2021-11-13,0.0,0.7978333333333333,0.2021666666666667,0.5752666666666667,META,Positive
2021-11-14,0.028875,0.9145,0.056625,0.06949999999999999,META,Positive
2021-11-15,0.0,0.9031666666666668,0.09683333333333333,0.27436666666666665,META,Positive
2021-11-16,0.05425,0.848,0.09775,0.174925,META,Positive
2021-11-17,0.0,0.9075,0.0925,0.6932499999999999,META,Positive
2021-11-18,0.0,0.9129999999999999,0.087,0.41764,META,Positive
2021-11-19,0.06266666666666666,0.9036666666666666,0.033666666666666664,0.0018666666666666716,META,Neutral
2021-11-20,0.02275,0.88675,0.0905,0.454075,META,Positive
2021-11-21,0.0235,0.935,0.042,0.148,META,Positive
2021-11-22,0.0,0.8862,0.11380000000000001,0.54626,META,Positive
2021-11-23,0.007666666666666666,0.8969999999999999,0.09533333333333333,0.5142833333333333,META,Positive
2021-11-24,0.0,0.858,0.14200000000000002,0.447175,META,Positive
2021-11-25,0.050666666666666665,0.7493333333333334,0.19999999999999998,0.5544333333333333,META,Positive
2021-11-26,0.0874,0.7687999999999999,0.14379999999999998,0.1896,META,Positive
2021-11-27,0.036333333333333336,0.7906666666666666,0.17300000000000001,0.7972666666666667,META,Positive
2021-11-28,0.011000000000000001,0.8889999999999999,0.09999999999999999,0.4513666666666667,META,Positive
2021-11-29,0.0,0.8332,0.1668,0.68696,META,Positive
2021-11-30,0.013,0.9249999999999999,0.062,0.27453333333333335,META,Positive
2021-12-01,0.11025,0.8472500000000001,0.042749999999999996,-0.137875,META,Negative
2021-12-02,0.024500000000000004,0.9129999999999999,0.0625,0.12001666666666667,META,Positive
2021-12-03,0.019454545454545454,0.9071818181818181,0.07336363636363635,0.1473,META,Positive
2021-12-04,0.0518,0.8507999999999999,0.0974,0.2955,META,Positive
