Date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,Stock Name,sentiment_label
2021-09-30,0.031999999999999994,0.8301999999999999,0.13799999999999998,0.25698,MSFT,Positive
2021-10-01,0.020874999999999998,0.865375,0.11374999999999999,0.35965,MSFT,Positive
2021-10-02,0.05633333333333334,0.8483333333333333,0.09533333333333334,-0.000699999999999997,MSFT,Neutral
2021-10-03,0.0,0.839,0.161,0.8225,MSFT,Positive
2021-10-04,0.015166666666666667,0.8689166666666667,0.11591666666666667,0.279425,MSFT,Positive
2021-10-05,0.059,0.8771666666666667,0.06383333333333334,0.13415,MSFT,Positive
2021-10-06,0.02,0.9032857142857144,0.07671428571428572,0.28147142857142854,MSFT,Positive
2021-10-07,0.0,0.93425,0.06575,0.2763,MSFT,Positive
2021-10-08,0.013500000000000002,0.907,0.07975,0.40805,MSFT,Positive
2021-10-09,0.0,0.932,0.068,0.5319,MSFT,Positive
2021-10-10,0.0,0.8593999999999999,0.1406,0.57038,MSFT,Positive
2021-10-11,0.128,0.872,0.0,-0.7184,MSFT,Negative
2021-10-12,0.027714285714285716,0.8601428571428571,0.1122857142857143,0.25317142857142855,MSFT,Positive
2021-10-13,0.10075,0.7535,0.14575,0.154125,MSFT,Positive
2021-10-14,0.016888888888888887,0.8687777777777778,0.11433333333333333,0.36525555555555556,MSFT,Positive
2021-10-15,0.04157142857142857,0.916,0.04257142857142858,0.019457142857142864,MSFT,Neutral
2021-10-16,0.03133333333333333,0.8771666666666667,0.09150000000000001,0.23755000000000004,MSFT,Positive
2021-10-17,0.00725,0.9045,0.08825,0.3878875,MSFT,Positive
2021-10-18,0.024714285714285713,0.9391428571428572,0.03614285714285714,0.06164285714285716,MSFT,Positive
2021-10-19,0.051375,0.872,0.076625,0.13135000000000002,MSFT,Positive
2021-10-20,0.041166666666666664,0.8721666666666666,0.08666666666666667,0.16801666666666668,MSFT,Positive
2021-10-21,0.06899999999999999,0.911,0.02,-0.12158333333333333,MSFT,Negative
2021-10-22,0.06425,0.8736666666666667,0.06216666666666667,0.012041666666666664,MSFT,Neutral
2021-10-23,0.0,0.952125,0.047875,0.19487500000000002,MSFT,Positive
2021-10-24,0.024272727272727276,0.8815454545454545,0.09418181818181819,0.24574545454545452,MSFT,Positive
2021-10-25,0.066,0.8594285714285714,0.07457142857142858,-0.03079285714285714,MSFT,Neutral
2021-10-26,0.05425,0.86525,0.0805,0.06210000000000001,MSFT,Positive
2021-10-27,0.03625,0.873375,0.09037500000000001,0.21221250000000003,MSFT,Positive
2021-10-28,0.06568181818181819,0.8466590909090909,0.0875909090909091,0.02408636363636364,MSFT,Neutral
2021-10-29,0.06021875,0.85565625,0.08415625,0.10556562500000001,MSFT,Positive
2021-10-30,0.0,0.8963333333333333,0.10366666666666667,0.47680000000000006,MSFT,Positive
2021-10-31,0.0195,0.8170000000000001,0.1635,0.6356166666666666,MSFT,Positive
2021-11-01,0.017363636363636362,0.8731818181818182,0.10945454545454546,0.3826181818181818,MSFT,Positive
2021-11-02,0.053714285714285714,0.8082857142857144,0.13785714285714284,0.44474285714285716,MSFT,Positive
2021-11-03,0.017714285714285714,0.8745714285714286,0.10771428571428572,0.2607285714285714,MSFT,Positive
2021-11-04,0.04766666666666666,0.8386666666666667,0.11366666666666665,0.34393333333333337,MSFT,Positive
2021-11-05,0.0315,0.8885000000000001,0.07991666666666668,0.26525,MSFT,Positive
2021-11-06,0.0639,0.8272999999999999,0.1089,0.34053,MSFT,Positive
2021-11-07,0.009909090909090909,0.9135454545454545,0.07654545454545456,0.29904545454545456,MSFT,Positive
2021-11-08,0.03899999999999999,0.848,0.11299999999999999,0.24089285714285716,MSFT,Positive
2021-11-09,0.0,0.9175,0.0825,0.34475,MSFT,Positive
2021-11-10,0.017916666666666664,0.871,0.111,0.34239166666666665,MSFT,Positive
2021-11-11,0.01,0.9077500000000001,0.08225,0.420275,MSFT,Positive
2021-11-12,0.0111,0.8630000000000001,0.1259,0.47497,MSFT,Positive
2021-11-13,0.0392,0.8943999999999999,0.0664,0.17404,MSFT,Positive
2021-11-14,0.030285714285714284,0.9012857142857144,0.06842857142857142,0.20335714285714288,MSFT,Positive
2021-11-15,0.06557142857142857,0.806,0.12842857142857142,0.22897142857142855,MSFT,Positive
2021-11-16,0.045,0.8295,0.12557142857142858,0.3386642857142857,MSFT,Positive
2021-11-17,0.0665,0.8008333333333333,0.13266666666666668,0.15636666666666665,MSFT,Positive
2021-11-18,0.041777777777777775,0.8618888888888888,0.09627777777777778,0.22738333333333335,MSFT,Positive
2021-11-19,0.03521052631578948,0.8785789473684211,0.08621052631578947,0.21354210526315787,MSFT,Positive
2021-11-20,0.0,0.9336666666666668,0.06633333333333334,0.34359999999999996,MSFT,Positive
2021-11-21,0.01257142857142857,0.9052857142857142,0.0822857142857143,0.3206428571428571,MSFT,Positive
2021-11-22,0.01775,0.8305833333333333,0.15166666666666667,0.4879583333333333,MSFT,Positive
2021-11-23,0.006857142857142858,0.9022857142857142,0.091,0.34305714285714284,MSFT,Positive
2021-11-24,0.020375,0.838125,0.141375,0.4323125,MSFT,Positive
2021-11-25,0.0075,0.9013333333333332,0.09100000000000001,0.2567333333333333,MSFT,Positive
2021-11-26,0.06166666666666667,0.9093333333333332,0.028999999999999998,0.0011833333333333234,MSFT,Neutral
2021-11-27,0.023333333333333334,0.8676666666666666,0.10899999999999999,0.3654,MSFT,Positive
2021-11-28,0.037375,0.878625,0.083875,0.178875,MSFT,Positive
